#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
614371	4961494	6885	1776997	112748	HHV8GK18_gp80	RP1-154G14.1	HHV8GK18_gp80	MAP3K7	-	MEKK7|TAK1|TGF1a	Affinity Capture-Western	physical	Bottero V (2011)	21159881	37296	9606	Low Throughput	-	-	-	-	-	BIOGRID
614372	4961494	6885	1776997	112748	HHV8GK18_gp80	RP1-154G14.1	HHV8GK18_gp80	MAP3K7	-	MEKK7|TAK1|TGF1a	Co-localization	physical	Bottero V (2011)	21159881	37296	9606	Low Throughput	-	-	-	-	-	BIOGRID
658123	4961493	5204	1776996	111226	HHV8GK18_gp64	-	vIRF-3	PFDN5	-	MM-1|MM1|PFD5	Two-hybrid	physical	Lubyova B (2007)	17728244	37296	9606	Low Throughput	-	-	-	data not shown. yeast two-hybrid mentioned in text of page 3.	-	BIOGRID
658124	4961493	5204	1776996	111226	HHV8GK18_gp64	-	vIRF-3	PFDN5	-	MM-1|MM1|PFD5	Affinity Capture-Western	physical	Lubyova B (2007)	17728244	37296	9606	Low Throughput	-	-	-	figure 2B.|figure 2D.	-	BIOGRID
658125	5204	4961493	111226	1776996	-	HHV8GK18_gp64	PFDN5	vIRF-3	MM-1|MM1|PFD5	-	Affinity Capture-Western	physical	Lubyova B (2007)	17728244	9606	37296	Low Throughput	-	-	-	figure 2.|figure 2C.|figure 3.	-	BIOGRID
669512	4961462	3065	1776965	109315	HHV8GK18_gp54	RP4-811H24.2	K8	HDAC1	-	GON-10|HD1|RPD3|RPD3L1	Affinity Capture-Western	physical	Martinez FP (2012)	22416134	37296	9606	Low Throughput	-	-	-	figure 3A.	-	BIOGRID
669513	4961462	3066	1776965	109316	HHV8GK18_gp54	-	K8	HDAC2	-	HD2|RPD3|YAF1	Affinity Capture-Western	physical	Martinez FP (2012)	22416134	37296	9606	Low Throughput	-	-	-	figure 3A.|figure 4A.	-	BIOGRID
669514	3065	4961462	109315	1776965	RP4-811H24.2	HHV8GK18_gp54	HDAC1	K8	GON-10|HD1|RPD3|RPD3L1	-	Affinity Capture-Western	physical	Martinez FP (2012)	22416134	9606	37296	Low Throughput	-	-	-	figure 3A.	-	BIOGRID
669515	3066	4961462	109316	1776965	-	HHV8GK18_gp54	HDAC2	K8	HD2|RPD3|YAF1	-	Affinity Capture-Western	physical	Martinez FP (2012)	22416134	9606	37296	Low Throughput	-	-	-	figure 3A.|figure 4A.	-	BIOGRID
669519	4961462	3066	1776965	109316	HHV8GK18_gp54	-	K8	HDAC2	-	HD2|RPD3|YAF1	Two-hybrid	physical	Martinez FP (2012)	22416134	37296	9606	Low Throughput	-	-	-	figure 5.	-	BIOGRID
670202	4961527	328	1777030	106825	HHV8GK18_gp81	-	HHV8GK18_gp81	APEX1	-	APE|APE1|APEN|APEX|APX|HAP1|REF1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670203	4961527	79058	1777030	122516	HHV8GK18_gp81	-	HHV8GK18_gp81	ASPSCR1	-	ASPCR1|ASPL|ASPS|RCC17|TUG|UBXD9|UBXN9	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670204	4961527	8099	1777030	113770	HHV8GK18_gp81	-	HHV8GK18_gp81	CDK2AP1	-	DOC1|DORC1|ST19|doc-1|p12DOC-1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670205	4961527	23527	1777030	117073	HHV8GK18_gp81	-	HHV8GK18_gp81	ACAP2	-	CENTB2|CNT-B2	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670206	4961527	9391	1777030	114791	HHV8GK18_gp81	-	HHV8GK18_gp81	CIAO1	-	CIA1|WDR39	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670207	4961527	1390	1777030	107780	HHV8GK18_gp81	RP11-324I22.1	HHV8GK18_gp81	CREM	-	CREM-2|ICER|hCREM-2	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670208	4961527	90459	1777030	124718	HHV8GK18_gp81	-	HHV8GK18_gp81	ERI1	-	3HEXO|HEXO|THEX1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670209	4961527	2273	1777030	108564	HHV8GK18_gp81	RP11-535K18.1	HHV8GK18_gp81	FHL1	-	FHL-1|FHL1A|FHL1B|FLH1A|KYOT|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670210	4961527	2935	1777030	109190	HHV8GK18_gp81	-	HHV8GK18_gp81	GSPT1	-	551G9.2|ETF3A|GST1|eRF3a	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
